PXXX;	X:	Y:	Z:	J1;	J2;	J3;	J4;	J5;	J6;	
001	43076	15686	30210	019976	277759	015456	000075	113169	018159	
011	43077	15681	32037	019976	277451	012786	000057	110172	017795	
002	53737	15693	30408	016236	300115	347188	000118	107336	011626	
003	53778	10536	30407	011043	297324	351019	000112	108329	004872	
031	57965	09307	30454	009069	307208	336983	000143	104190	001468	
004	61460	03841	30602	003532	316174	323144	000127	099292	354364	
041	59159	-2608	30446	357444	308704	334786	000086	103429	346071	
005	53462	-4888	30405	354748	294786	354424	000068	109132	341200	
006	53467	-9986	30365	349395	296384	352356	000064	108708	333890	
007	42841	-9987	30110	346838	273946	019736	000083	113544	329148	
