PXXX;	X:	Y:	Z:	J1;	J2;	J3;	J4;	J5;	J6;	
001	51372	08129	31833	008967	290802	356765	000063	107572	005348	
002	51368	08142	36483	008967	291305	348967	000097	100316	005092	
003	51367	05156	41678	005683	291562	343651	000118	095249	001597	
004	51366	02168	42479	002359	293019	336670	000135	089714	358040	
005	51367	-7132	42480	352036	294239	335054	000137	089304	347437	
006	51370	-10118	41670	348791	293441	341213	000157	094651	343976	
007	51371	-13117	36478	345618	293798	345740	000141	099528	340632	
008	51372	-13116	31824	345618	293130	353778	000150	106885	340588	
