PXXX;	X:	Y:	Z:	J1;	J2;	J3;	J4;	J5;	J6;	
001	43291	10496	29361	013602	275255	019584	000061	114781	009197	
002	51979	10529	29366	011430	293394	357962	000054	111338	006212	
003	51976	05852	29361	006402	291796	000043	000054	111794	000740	
004	59875	-0797	29369	359236	310423	333990	000001	104375	351786	
005	51879	-7840	29374	351386	292157	359558	000048	111669	343042	
006	51882	-11820	29377	347145	293799	357412	000050	111183	338250	
007	43094	-11775	29367	344683	275544	019264	000078	114726	334662	
008	40900	00000	44450	360000	270000	000000	000000	090000	360000	
