PXXX;	X:	Y:	Z:	J1;	J2;	J3;	J4;	J5;	J6;	
100	40840	00000	47929	000000	270000	000000	000000	090000	000000	
001	35535	14656	35207	022545	261748	028916	359916	110635	022504	
011	35784	14649	36739	022405	262118	026070	359893	108143	022364	
002	45115	14805	35914	018281	280949	008241	359902	109163	018222	
003	44773	10185	35758	013003	277640	012215	359704	109793	013032	
004	53345	03307	36387	003627	294074	351501	359949	105583	003545	
005	44052	-3932	35523	354871	274080	016436	000531	110455	354570	
006	43932	-7820	35474	349907	274933	015612	000453	110471	349636	
007	34393	-7243	34866	348230	254544	035523	000105	110055	348092	
