PXXX;	X:	Y:	Z:	J1;	J2;	J3;	J4;	J5;	J6;	
001	51157	08818	23341	009758	293104	008376	000059	121497	005565	
002	51153	08816	28507	009758	291079	002375	000050	113445	003953	
003	51151	08520	29797	009435	290704	000726	000056	111413	002917	
004	51151	06225	30988	006921	289832	359875	000045	109668	359936	
005	51152	-11328	30989	347472	291772	357399	000101	109119	339750	
006	51157	-13608	29702	345054	293135	357747	000125	110847	336990	
007	51156	-13810	28409	344846	293493	359407	000119	112870	336604	
008	51164	-13906	22852	344743	295692	005763	000146	121456	335708	
009	51158	08829	22841	009729	293391	008845	000173	122245	358225	
