PXXX;	X:	Y:	Z:	J1;	J2;	J3;	J4;	J5;	J6;	
011	40965	12908	33221	017436	271216	017444	000112	108583	015746	
001	40873	12908	30654	017436	271554	021320	000108	112847	015371	
002	51592	12893	30852	013989	293476	355414	000105	108941	009932	
003	51586	07735	30794	008489	291242	358399	000100	109629	003328	
031	56674	05902	30993	005895	302661	342660	000134	105324	359308	
004	59470	00065	31038	000000	309532	332582	000174	102081	351488	
041	56923	-5711	30996	354204	303273	341783	000177	105039	343727	
005	51480	-7758	30854	351377	291035	358566	000133	109559	338917	
006	51488	-12957	30915	345819	293322	355510	000142	108833	332160	
007	40873	-12873	30712	342450	271372	021410	000141	112684	326433	
008	40900	00000	44450	360000	270000	000000	000000	090000	360000	
